isbn,title,author,price,stock,category,description
9787622266205,"Placeat impedit.","Terrell Lindgren",426.84,905,Mystery,"Sunt nobis qui sed omnis rerum a expedita. Dolores eum enim aut occaecati error. Quos omnis quasi molestiae sed."
9796571240839,"Quis culpa et laudantium.","Miss Petra Baumbach DDS",159.59,200,History,"Eveniet doloremque consequatur quaerat culpa. Labore odio voluptatum sapiente minus quos unde."
9788626801393,"Ut voluptatibus ipsum nobis.","Miss Kimberly Bartoletti",392.44,682,History,"Harum magni et ex odio. Omnis molestias eum saepe recusandae quia et esse."
9791639127534,"Pariatur consequuntur dolore.","Prof. Darrick Shanahan",420.21,319,Business,"Non eum architecto voluptatem velit ullam. Ut vel recusandae iure illum."
9792537880460,"Modi non asperiores quo.","Johathan Stiedemann",289.81,731,Fiction,"Occaecati adipisci cum necessitatibus aut qui ut perferendis magnam. Sed sed nihil aut sunt enim. Mollitia ipsam est aperiam quaerat."
9791048403182,"Debitis alias et.","Harmony Lynch",182.71,853,"Children’s Literature","Nisi veniam itaque libero nihil. Deserunt modi occaecati aliquam porro nemo fugiat voluptatum. Modi id minima odit delectus et."
9796022928941,"Illo dolorem sit.","Mr. Cullen Collier",331.21,875,Cooking,"Incidunt recusandae adipisci exercitationem consequuntur fuga modi. Sed quod eveniet nostrum deleniti ipsum quo. Officiis modi ducimus beatae accusamus exercitationem molestias."
9785311404464,"Ipsum minus ut quaerat adipisci.","Dr. Sofia Murazik",340.18,515,Romance,"Maiores fugiat dolores voluptatum dolore excepturi. Rerum aut occaecati aut voluptate adipisci dolorem. Voluptas quod beatae nesciunt ipsa magni."
9799700005248,"Et provident sunt.","Shanelle Altenwerth",472.85,1,Cooking,"Nesciunt illum earum culpa et. Numquam voluptatem et sint."
9789408216923,"Sapiente dolor et itaque.","Brendan Oberbrunner MD",268.38,511,Self-Help,"Sunt maxime nisi illum. Nostrum illo vero eum corporis voluptatem."
9797075783266,"Et iure non et.","Rylan Hermiston",333.83,421,Self-Help,"Incidunt ut illum voluptatum ut ea et. Sed et eum est ut aut aliquid."
9783474596279,"Aspernatur enim aut fugiat.","Deja Rowe",240.01,630,Cooking,"Excepturi doloribus est ea id illo. Aut pariatur nemo inventore consequatur dolorum. Ipsa quisquam asperiores aut fugiat."
9782941474782,"Nobis cum et.","Hilda Fritsch III",232.59,339,Non-Fiction,"Sed amet at delectus expedita ipsum totam et. Illum porro incidunt ullam soluta."
9792714123465,"Illo sint optio ipsam iure.","Prof. Tito Kohler",158.22,115,History,"Consequatur perferendis vel non. Eveniet doloribus totam voluptates et. Enim fuga suscipit odit odit atque quam."
9785152551914,"Porro eius qui quia.","Thad Hoppe PhD",380.52,522,Travel,"Omnis fugit ipsum deleniti accusamus dignissimos accusamus aut. Quidem exercitationem officiis dolorem dolor ipsa qui iusto fuga."
9791435729819,"Nostrum non sint praesentium.","Walker Huel",67.05,408,"Children’s Literature","Iste aut voluptas voluptatem labore. Laudantium nobis temporibus nemo et reiciendis quia voluptatem."
9793250966325,"Veritatis consequatur nulla natus.","Queenie Goyette",199.44,883,Biography,"Vitae eius ut non dolorem alias sapiente earum impedit. Doloribus voluptas ut iusto saepe. Quas consequatur et aut nesciunt."
9785391163053,"Et quia recusandae officiis.","Ramona McCullough",413.26,841,Romance,"Inventore recusandae commodi impedit excepturi. Possimus a iusto sunt voluptate aliquid eum consectetur. Non nobis nulla facilis sunt occaecati."
9785351499031,"Sequi pariatur dolor aut.","Janick Auer",233.76,205,Non-Fiction,"Hic in esse voluptas ea omnis sed esse. Eaque molestias cum assumenda fugit id. Qui suscipit enim et molestiae molestiae in accusantium quae."
9793383194954,"Eum eos ullam tenetur.","Lukas Block",186,163,Biography,"Nulla minus asperiores harum aspernatur facilis dicta. Harum minus eos saepe animi. In maiores nemo qui."
9781559820943,"Quia quos.","Bud Jerde",201.7,947,Fantasy,"Sit illo quia dolor. Harum voluptate maiores veniam."
9798090327732,"Porro ducimus dolor dolorem.","Sonya Schiller",134.03,192,Self-Help,"Sit minima molestias possimus quia officiis molestiae natus. Pariatur eius possimus ut et id alias soluta. Minima autem iusto quo rerum rerum occaecati quisquam debitis."
9786685816020,"Non perferendis.","Maximo Smitham",269.02,304,Technology,"Omnis omnis est facere voluptas. Cum quod rerum nisi quasi expedita quo."
9788981003494,"Et mollitia quos.","Uriel Adams I",423.64,592,Romance,"Numquam aut sequi minima ut reiciendis quis atque. At velit voluptas qui dolorem."
9798774573820,"Perferendis quis laborum asperiores.","Miss Grace Goldner",310.78,802,Business,"Rem consequatur possimus vel est. Quas a ab maxime praesentium quis velit."
9781522276074,"Ipsam sapiente a.","Mireille Osinski",45.31,215,Fiction,"Quo molestias sit est nesciunt. Autem velit natus quia odit voluptate omnis omnis."
